"time","temperature","humidity","relay1","relay2","relay3"
"2026-05-04 11:48:54.207357+07","34","61.5",1,0,0
"2026-05-04 11:49:24.241241+07","34","60.2",1,0,0
"2026-05-04 11:49:54.340619+07","34","60",1,0,0
"2026-05-04 11:50:24.279556+07","34","60.3",1,0,0
"2026-05-04 11:50:54.345646+07","34.1","61.8",1,0,0
"2026-05-04 11:51:24.35686+07","34.1","62.6",1,0,0
"2026-05-04 11:51:54.402328+07","34.2","62.8",1,0,0
"2026-05-04 11:52:24.514481+07","34.2","62.5",1,0,0
"2026-05-04 11:52:54.447691+07","34.3","63",1,0,0
"2026-05-04 11:53:24.478426+07","34.4","60.1",1,0,0
"2026-05-04 11:53:54.488236+07","34.5","60.9",1,0,0
"2026-05-04 11:54:24.564294+07","34.6","60.5",1,0,0
"2026-05-04 11:54:54.733042+07","34.6","60.1",1,0,0
"2026-05-04 11:55:24.598934+07","34.6","59.1",1,0,0
"2026-05-04 11:55:54.635493+07","34.5","59.8",1,0,0
"2026-05-04 11:56:24.677937+07","34.5","59.3",1,0,0
"2026-05-04 11:56:54.709493+07","34.4","58.8",1,0,0
"2026-05-04 11:57:24.762834+07","34.3","59",1,0,0
"2026-05-04 11:57:54.747241+07","34.3","59.3",1,0,0
"2026-05-04 11:58:24.831178+07","34.3","61.3",1,0,0
"2026-05-04 11:58:54.871902+07","34.2","59.5",1,0,0
"2026-05-04 11:59:24.905084+07","34.2","59.9",1,0,0
"2026-05-04 11:59:55.011602+07","34.1","59.9",1,0,0
"2026-05-04 12:00:24.946424+07","34.1","60.6",1,0,0
"2026-05-04 12:00:54.961709+07","34","61.2",1,0,0
"2026-05-04 12:01:25.041112+07","34","60.8",1,0,0
"2026-05-04 12:01:55.029217+07","34","61.3",1,0,0
"2026-05-04 12:02:25.096827+07","34","62.4",1,0,0
"2026-05-04 12:02:55.638209+07","34","64",1,0,0
"2026-05-04 12:03:25.229702+07","33.9","60.8",1,0,0
"2026-05-04 12:03:55.191135+07","33.9","60.7",1,0,0
"2026-05-04 12:04:25.185724+07","33.9","60.2",1,0,0
"2026-05-04 12:04:55.213405+07","33.9","60.2",1,0,0
"2026-05-04 12:05:25.252203+07","33.8","60.4",1,0,0
"2026-05-04 12:05:55.382104+07","33.8","60.9",1,0,0
"2026-05-04 12:06:25.47212+07","33.8","60.6",1,0,0
"2026-05-04 12:06:55.513123+07","33.8","61.2",1,0,0
"2026-05-04 12:07:25.381082+07","33.8","60.5",1,0,0
"2026-05-04 12:07:55.665306+07","33.8","60.6",1,0,0
"2026-05-04 12:08:25.466553+07","33.8","60.8",1,0,0
"2026-05-04 12:08:55.515632+07","33.8","60.9",1,0,0
"2026-05-04 12:09:25.55393+07","33.9","61.1",1,0,0
"2026-05-04 12:09:55.680178+07","34","61.5",1,0,0
"2026-05-04 12:10:25.668063+07","34","61.8",1,0,0
"2026-05-04 12:10:55.613223+07","34.1","60.9",1,0,0
"2026-05-04 12:11:25.696369+07","34.2","60.6",1,0,0
"2026-05-04 12:11:55.724461+07","34.3","60.3",1,0,0
"2026-05-04 12:12:25.720904+07","34.4","60.4",1,0,0
"2026-05-04 12:12:55.745713+07","34.5","60.1",1,0,0
"2026-05-04 12:13:25.822912+07","34.6","59",1,0,0
"2026-05-04 12:13:55.790464+07","34.7","59",1,0,0
"2026-05-04 12:14:25.818313+07","34.7","59.5",1,0,0
"2026-05-04 12:14:56.00824+07","34.8","61.3",1,0,0
"2026-05-04 12:15:25.92103+07","34.8","61.2",1,0,0
"2026-05-04 12:15:55.930183+07","34.9","60.9",1,0,0
"2026-05-04 12:16:25.98939+07","35","60.9",1,0,0
"2026-05-04 12:16:56.13157+07","35.3","60.5",1,0,0
"2026-05-04 12:17:26.04772+07","35.5","58.8",1,0,0
"2026-05-04 12:17:56.058227+07","35.6","59.8",1,0,0
"2026-05-04 12:18:26.083728+07","35.7","58.8",1,0,0
"2026-05-04 12:18:56.131888+07","35.8","57.6",1,0,0
"2026-05-04 12:19:26.179586+07","35.7","57.7",1,0,0
"2026-05-04 12:19:56.228503+07","35.7","56.9",1,0,0
"2026-05-04 12:20:26.309894+07","35.6","57",1,0,0
"2026-05-04 12:20:56.263598+07","35.4","57.2",1,0,0
"2026-05-04 12:21:26.274572+07","35.3","57.3",1,0,0
"2026-05-04 12:21:56.32935+07","35.2","58",1,0,0
"2026-05-04 12:22:26.395857+07","35.1","58.9",1,0,0
"2026-05-04 12:22:56.478047+07","35.1","58.3",1,0,0
"2026-05-04 12:23:26.499375+07","35","58.1",1,0,0
"2026-05-04 12:23:56.422783+07","34.9","58.4",1,0,0
"2026-05-04 12:24:26.4658+07","34.8","60.3",1,0,0
"2026-05-04 12:24:56.520499+07","34.7","61.1",1,0,0
"2026-05-04 12:25:26.609013+07","34.7","60.1",1,0,0
"2026-05-04 12:25:56.583676+07","34.7","59.2",1,0,0
"2026-05-04 12:26:26.636012+07","34.6","59.8",1,0,0
"2026-05-04 12:26:56.63999+07","34.6","58.9",1,0,0
"2026-05-04 12:27:26.661751+07","34.6","59.1",1,0,0
"2026-05-04 12:27:56.814864+07","34.5","59.8",1,0,0
"2026-05-04 12:28:26.866096+07","34.5","60.2",1,0,0
"2026-05-04 12:28:57.08516+07","34.5","60.4",1,0,0
"2026-05-04 12:29:26.963374+07","34.6","60.2",1,0,0
"2026-05-04 12:29:56.946334+07","34.5","58.6",1,0,0
"2026-05-04 12:30:26.868256+07","34.5","58.7",1,0,0
"2026-05-04 12:30:57.380266+07","34.5","59",1,0,0
"2026-05-04 12:31:26.928867+07","34.4","59.3",1,0,0
"2026-05-04 12:31:57.04717+07","34.4","59.1",1,0,0
"2026-05-04 12:32:27.048647+07","34.4","60",1,0,0
"2026-05-04 12:32:57.031518+07","34.4","59.1",1,0,0
"2026-05-04 12:33:27.07401+07","34.5","59",1,0,0
"2026-05-04 12:33:57.263965+07","34.5","59.4",1,0,0
